job_id,process_steps,material_group,size_mm,dxf_complexity,ga_makespan,expert_makespan,roi_improvement,better_expert,note
JOB_001,4,C,450,0.04,777,811,-0.045,0,GA Optimization sufficient for standard job
JOB_002,8,A,804,0.08,415,433,-0.045,0,GA Optimization sufficient for standard job
JOB_003,16,I,2798,0.4,1332,1152,0.135,1,Expert chose specific machine for I to avoid breakage
JOB_004,7,C,206,0.15,481,488,-0.015,0,GA Optimization sufficient for standard job
JOB_005,13,I,1878,0.35,1194,1068,0.105,1,Expert chose specific machine for I to avoid breakage
JOB_006,8,C,244,0.15,674,703,-0.044,0,GA Optimization sufficient for standard job
JOB_007,4,C,843,0.12,585,597,-0.021,0,GA Optimization sufficient for standard job
JOB_008,4,B,991,0.06,440,443,-0.007,0,GA Optimization sufficient for standard job
JOB_009,7,C,664,0.13,586,610,-0.042,0,GA Optimization sufficient for standard job
JOB_010,14,K,792,0.6,1087,949,0.127,1,Expert chose specific machine for K to avoid breakage
JOB_011,15,L,1605,0.79,1327,1148,0.134,1,Expert chose specific machine for L to avoid breakage
JOB_012,14,I,1438,0.71,1412,1248,0.116,1,Expert chose specific machine for I to avoid breakage
JOB_013,13,K,1788,0.41,1255,1104,0.12,1,Expert chose specific machine for K to avoid breakage
JOB_014,7,B,471,0.03,781,798,-0.022,0,GA Optimization sufficient for standard job
JOB_015,16,L,2890,0.5,1112,945,0.15,1,Expert chose specific machine for L to avoid breakage
JOB_016,15,I,692,0.73,1078,936,0.131,1,Expert chose specific machine for I to avoid breakage
JOB_017,7,A,594,0.08,639,654,-0.024,0,GA Optimization sufficient for standard job
JOB_018,10,A,896,0.14,749,753,-0.006,0,GA Optimization sufficient for standard job
JOB_019,10,C,314,0.06,480,493,-0.027,0,GA Optimization sufficient for standard job
JOB_020,9,C,712,0.15,659,661,-0.004,0,GA Optimization sufficient for standard job
JOB_021,6,B,356,0.07,482,493,-0.023,0,GA Optimization sufficient for standard job
JOB_022,8,A,813,0.06,409,427,-0.044,0,GA Optimization sufficient for standard job
JOB_023,14,I,737,0.42,1290,1099,0.147,1,Expert chose specific machine for I to avoid breakage
JOB_024,15,I,2681,0.68,1065,923,0.133,1,Expert chose specific machine for I to avoid breakage
JOB_025,5,C,740,0.17,616,617,-0.002,0,GA Optimization sufficient for standard job
JOB_026,10,B,930,0.06,743,756,-0.018,0,GA Optimization sufficient for standard job
JOB_027,8,F,323,0.05,432,446,-0.033,0,GA Optimization sufficient for standard job
JOB_028,5,B,207,0.01,723,757,-0.047,0,GA Optimization sufficient for standard job
JOB_029,12,L,790,0.56,1142,989,0.133,1,Expert chose specific machine for L to avoid breakage
JOB_030,13,K,2838,0.59,1124,967,0.139,1,Expert chose specific machine for K to avoid breakage
JOB_031,5,A,299,0.13,581,597,-0.029,0,GA Optimization sufficient for standard job
JOB_032,9,A,889,0.13,730,762,-0.045,0,GA Optimization sufficient for standard job
JOB_033,6,A,454,0.04,674,692,-0.028,0,GA Optimization sufficient for standard job
JOB_034,6,F,455,0.17,438,450,-0.028,0,GA Optimization sufficient for standard job
JOB_035,8,A,251,0.13,676,681,-0.008,0,GA Optimization sufficient for standard job
JOB_036,10,B,370,0.08,646,671,-0.039,0,GA Optimization sufficient for standard job
JOB_037,4,B,588,0.0,599,621,-0.037,0,GA Optimization sufficient for standard job
JOB_038,7,C,633,0.14,774,774,-0.0,0,GA Optimization sufficient for standard job
JOB_039,9,F,358,0.04,511,511,-0.002,0,GA Optimization sufficient for standard job
JOB_040,8,A,965,0.06,425,433,-0.021,0,GA Optimization sufficient for standard job
JOB_041,10,B,258,0.19,441,444,-0.007,0,GA Optimization sufficient for standard job
JOB_042,12,K,1463,0.5,1482,1267,0.145,1,Expert chose specific machine for K to avoid breakage
JOB_043,16,I,835,0.51,1298,1131,0.128,1,Expert chose specific machine for I to avoid breakage
JOB_044,14,I,1786,0.42,1202,1073,0.107,1,Expert chose specific machine for I to avoid breakage
JOB_045,7,C,969,0.19,404,414,-0.027,0,GA Optimization sufficient for standard job
JOB_046,4,A,750,0.04,535,558,-0.043,0,GA Optimization sufficient for standard job
JOB_047,12,I,2013,0.44,1224,1050,0.142,1,Expert chose specific machine for I to avoid breakage
JOB_048,8,A,883,0.16,553,554,-0.003,0,GA Optimization sufficient for standard job
JOB_049,13,L,972,0.74,1380,1203,0.128,1,Expert chose specific machine for L to avoid breakage
JOB_050,16,I,1904,0.4,1324,1135,0.143,1,Expert chose specific machine for I to avoid breakage
JOB_051,6,A,294,0.13,541,566,-0.048,0,GA Optimization sufficient for standard job
JOB_052,13,K,1572,0.38,1226,1069,0.128,1,Expert chose specific machine for K to avoid breakage
JOB_053,4,A,277,0.19,753,756,-0.005,0,GA Optimization sufficient for standard job
JOB_054,10,C,796,0.11,620,647,-0.044,0,GA Optimization sufficient for standard job
JOB_055,12,L,1360,0.64,1341,1200,0.105,1,Expert chose specific machine for L to avoid breakage
JOB_056,10,F,835,0.15,521,524,-0.007,0,GA Optimization sufficient for standard job
JOB_057,10,B,622,0.0,777,779,-0.004,0,GA Optimization sufficient for standard job
JOB_058,7,B,473,0.03,759,792,-0.045,0,GA Optimization sufficient for standard job
JOB_059,10,F,427,0.04,635,655,-0.033,0,GA Optimization sufficient for standard job
JOB_060,10,B,428,0.0,498,512,-0.03,0,GA Optimization sufficient for standard job
JOB_061,12,L,1938,0.62,1204,1042,0.134,1,Expert chose specific machine for L to avoid breakage
JOB_062,6,A,318,0.18,533,554,-0.041,0,GA Optimization sufficient for standard job
JOB_063,6,A,311,0.12,576,583,-0.014,0,GA Optimization sufficient for standard job
JOB_064,16,K,973,0.49,1295,1153,0.11,1,Expert chose specific machine for K to avoid breakage
JOB_065,15,I,2629,0.76,1275,1103,0.134,1,Expert chose specific machine for I to avoid breakage
JOB_066,9,B,572,0.09,740,742,-0.004,0,GA Optimization sufficient for standard job
JOB_067,9,A,937,0.18,659,681,-0.035,0,GA Optimization sufficient for standard job
JOB_068,7,C,767,0.03,615,625,-0.017,0,GA Optimization sufficient for standard job
JOB_069,13,K,2831,0.45,1280,1098,0.142,1,Expert chose specific machine for K to avoid breakage
JOB_070,13,L,2875,0.6,1164,1020,0.123,1,Expert chose specific machine for L to avoid breakage
JOB_071,5,F,953,0.03,443,458,-0.036,0,GA Optimization sufficient for standard job
JOB_072,8,C,295,0.16,784,813,-0.038,0,GA Optimization sufficient for standard job
JOB_073,13,I,600,0.32,1243,1080,0.131,1,Expert chose specific machine for I to avoid breakage
JOB_074,7,F,844,0.12,767,778,-0.015,0,GA Optimization sufficient for standard job
JOB_075,5,B,871,0.14,784,789,-0.007,0,GA Optimization sufficient for standard job
JOB_076,10,F,424,0.04,756,774,-0.024,0,GA Optimization sufficient for standard job
JOB_077,13,I,2369,0.37,1237,1072,0.133,1,Expert chose specific machine for I to avoid breakage
JOB_078,8,C,973,0.18,713,719,-0.009,0,GA Optimization sufficient for standard job
JOB_079,7,F,362,0.15,643,660,-0.027,0,GA Optimization sufficient for standard job
JOB_080,10,C,984,0.16,648,660,-0.019,0,GA Optimization sufficient for standard job
JOB_081,12,K,1670,0.42,1171,1035,0.116,1,Expert chose specific machine for K to avoid breakage
JOB_082,5,B,436,0.08,478,485,-0.015,0,GA Optimization sufficient for standard job
JOB_083,15,L,2722,0.53,1031,917,0.11,1,Expert chose specific machine for L to avoid breakage
JOB_084,10,A,983,0.12,644,676,-0.05,0,GA Optimization sufficient for standard job
JOB_085,15,L,2704,0.67,1279,1099,0.14,1,Expert chose specific machine for L to avoid breakage
JOB_086,7,B,479,0.09,414,426,-0.031,0,GA Optimization sufficient for standard job
JOB_087,10,F,941,0.03,639,641,-0.004,0,GA Optimization sufficient for standard job
JOB_088,8,A,603,0.12,739,774,-0.049,0,GA Optimization sufficient for standard job
JOB_089,5,F,386,0.01,594,613,-0.034,0,GA Optimization sufficient for standard job
JOB_090,6,F,484,0.15,615,637,-0.037,0,GA Optimization sufficient for standard job
JOB_091,12,K,2709,0.33,1487,1312,0.117,1,Expert chose specific machine for K to avoid breakage
JOB_092,10,A,972,0.01,526,547,-0.04,0,GA Optimization sufficient for standard job
JOB_093,13,I,1017,0.54,1058,922,0.128,1,Expert chose specific machine for I to avoid breakage
JOB_094,14,L,1187,0.6,1493,1287,0.137,1,Expert chose specific machine for L to avoid breakage
JOB_095,13,L,942,0.59,1475,1304,0.116,1,Expert chose specific machine for L to avoid breakage
JOB_096,7,F,932,0.04,703,713,-0.015,0,GA Optimization sufficient for standard job
JOB_097,4,C,900,0.12,461,465,-0.01,0,GA Optimization sufficient for standard job
JOB_098,4,C,745,0.09,589,616,-0.047,0,GA Optimization sufficient for standard job
JOB_099,4,F,701,0.02,585,595,-0.018,0,GA Optimization sufficient for standard job
JOB_100,9,B,645,0.04,667,668,-0.002,0,GA Optimization sufficient for standard job
